"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-01",,,"5","2",,,,,,,"0.59",,,,"0.80",,,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-02",,,"4","1",,,"0","23","13",,"0.11","95",,,"0.21",,"90.5",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-03",,,"7","4",,,"0","26","19",,"0.70","94",,,"1.20",,"90.4",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-04",,,"20","13",,,"0","26","16",,"4.61","91",,,"17.37",,"89.9",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-05",,,"23","16",,,"0","27","9",,"5.31","92",,,"31.00",,"88.6",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-06",,,"16","11",,,"0","29","0",,"2.33","89",,,"7.24",,"87.3",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-07",,,"16","8",,,"0","29","0",,"1.38","88",,,"4.59",,"85.9",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-08",,,"2","2",,,"0","30","0",,"0.40","88",,,"0.58",,"85.5",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-09",,,"15","10",,,"0","30","0",,"4.89","88",,,"10.69",,"86.0",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-10",,,"13","8",,,"0","31","0",,"1.67","87",,,"6.11",,"86.1",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-11",,,"22","17",,,"0","29","0",,"17.44","89",,,"38.22",,"85.8",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2010-12",,,"17","12",,,"0","31","0",,"4.50","90",,,"11.78",,"84.8",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-01",,,"7","3",,,"0","28","4",,"0.56","92",,,"1.19",,"86.4",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-02",,,"11","4",,,"0","28","2",,"1.61","92",,,"2.98",,"86.0",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-03",,,"10","7",,,"0","29","7",,"1.40","97",,,"5.24",,"89.2",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-04",,,"15","13",,,"0","29","2",,"2.76","90",,,"13.89",,"88.1",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-05",,,"17","9",,,"0","30","1",,"2.58","91",,,"6.18",,"88.4",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-06",,,"12","10",,,,,,,"1.53",,,,"8.03",,,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-07",,,"10","8",,,"0","31","0",,"0.77","89",,,"3.74",,"86.3",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-08",,"458","12","7","0","0","0","31","0","74","2.58","88",,"0","6.22","82.7","86.4","79.0"
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-09",,,"17","13",,,"0","30","0",,"0.72","89",,,"3.34",,"86.8",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-10",,,"19","14",,,"0","30","1",,"2.38","90",,,"8.48",,"87.9",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-11",,,"15","11",,,"0","28","2",,"1.65","91",,,"6.65",,"87.5",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2011-12",,,"10","4",,,"0","31","2",,"1.34","91",,,"2.86",,"86.9",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-01",,,"5","5",,,"0","30","3",,"3.24","92",,,"6.24",,"87.6",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-02",,,"10","4",,,"0","29","7",,"2.38","93",,,"5.28",,"89.0",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-03",,,"6","3",,,"0","31","2",,"1.43","92",,,"3.17",,"88.7",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-04",,,"19","16",,,"0","29","6",,"3.98","91",,,"20.97",,"88.3",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-05",,"528","10","6","0","0","0","31","3","74","3.56","91",,"0","7.72","84.6","89.1","80.0"
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-06",,,"16","6",,,"0","30","0",,"1.57","89",,,"3.77",,"87.5",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-07",,,"9","5",,,"0","31","0",,"0.45","89",,,"1.71",,"87.0",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-08",,,"19","15",,,"0","31","0",,"1.66","89",,,"7.23",,"87.2",
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-09",,"432","19","10","0","0","0","30","0","74","2.30","89",,"0","5.66","82.3","86.8","77.9"
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2012-10",,,"20","16",,,"0","30","0",,"2.84","90",,,"15.37",,"87.4",
