Colombo,584,606,294,224,296,700,1530,881,312,267,97,146,5937
Gampaha,608,623,306,205,295,381,686,417,174,101,77,87,3960
Kalutara,121,124,119,114,185,294,420,215,122,56,23,19,1812
Kandy,211,174,116,89,114,176,341,230,91,64,22,16,1644
Matale,138,113,35,46,35,35,97,43,23,21,19,45,650
N Eliya,28,11,15,6,14,13,45,44,21,21,6,3,227
Galle,36,79,86,115,83,145,228,169,105,49,11,7,1113
Hambantota,49,128,85,45,29,82,161,122,67,24,7,10,809
Matara,36,44,41,29,28,67,148,110,62,25,15,9,614
Jaffna,858,878,170,145,82,237,236,96,40,78,79,121,3020
Kilinochchi,0,0,0,1,0,4,5,18,12,2,5,6,53
Mannar,26,23,14,16,9,55,94,222,62,28,14,5,568
Vavuniya,336,91,40,14,6,21,27,22,12,3,3,4,579
Mulativu,0,0,0,0,1,0,2,8,7,3,1,1,23
Batticaloa,305,314,202,184,48,59,59,25,4,8,13,29,1250
Ampara,12,13,25,19,9,6,30,21,19,5,1,8,168
Trincomalee,233,283,145,60,22,38,89,46,21,17,11,22,987
Kurunegala,197,142,99,54,100,151,300,214,78,47,21,26,1429
Puttalam,208,189,86,50,51,106,137,82,49,31,25,45,1059
Apura,267,296,131,48,21,38,83,67,60,33,26,40,1110
Polonnaruwa,33,42,34,50,60,61,51,30,21,8,5,7,402
Badulla,71,68,49,47,69,118,372,319,120,43,26,40,1342
Moneragala,50,39,55,67,53,93,314,219,65,50,42,24,1071
Ratnapura,93,141,234,270,274,432,492,438,246,118,53,46,2837
Kegalle,90,136,76,49,53,117,161,104,64,25,22,21,918
Kalmunai,215,174,71,57,13,8,5,9,6,10,23,15,606
TOTAL,4805,4731,2528,2004,1950,3437,6113,4171,1863,1137,647,802,34188
Colombo,309,392,340,528,698,1610,2085,824,863,599,536,1339,10123
Gampaha,134,119,141,183,218,537,911,428,367,321,347,668,4374
Kalutara,48,52,57,133,148,185,188,107,93,100,111,194,1416
Kandy,26,28,32,62,53,81,218,99,251,255,182,348,1635
Matale,10,18,16,20,37,53,66,25,26,17,21,56,365
N Eliya,3,8,9,19,17,20,50,10,31,43,17,25,252
Galle,7,19,30,57,98,112,168,100,96,50,49,93,879
Hambantota,16,8,27,70,87,48,51,18,19,13,20,39,416
Matara,14,18,35,55,57,51,83,27,63,72,141,179,795
Jaffna,58,34,24,20,10,16,35,33,46,19,34,71,400
Kilinochchi,2,4,10,13,4,3,3,5,8,3,4,7,66
Mannar,8,5,4,2,2,2,2,1,0,17,8,49,100
Vavuniya,13,3,15,5,7,11,8,2,3,3,4,7,81
Mulativu,2,3,0,1,1,7,1,0,0,1,2,1,19
Batticaloa,31,41,104,185,141,112,53,21,35,123,289,558,1693
Ampara,12,6,2,20,10,29,20,11,24,13,16,33,196
Trincomalee,7,17,25,25,12,19,21,6,10,3,8,24,177
Kurunegala,31,49,60,59,91,116,178,84,84,71,82,135,1040
Puttalam,72,64,49,28,21,52,62,23,31,27,40,102,571
Apura,21,18,14,21,31,39,43,21,22,24,12,33,299
Polonnaruwa,5,38,20,28,38,44,36,23,18,16,6,32,304
Badulla,22,21,15,36,31,65,201,54,46,39,49,53,632
Moneragala,17,24,15,33,16,18,32,17,34,30,40,36,312
Ratnapura,47,38,40,113,89,118,153,86,117,87,91,181,1160
Kegalle,15,24,28,51,48,120,141,81,156,176,88,152,1080
Kalmunai,3,1,6,4,2,3,8,0,2,5,6,48,88
TOTAL,933,1052,1118,1771,1967,3471,4817,2106,2445,2127,2203,4463,28473
Colombo,1066,744,630,412,583,1251,1314,1231,525,726,853,682,10017
Gampaha,847,640,447,367,397,1180,969,884,479,570,737,489,8006
Kalutara,180,260,209,205,182,364,348,339,156,192,213,143,2791
Kandy,270,194,114,122,194,298,287,355,135,177,185,186,2517
Matale,45,47,59,35,32,81,29,62,46,44,47,69,596
N Eliya,24,35,41,25,18,58,30,30,21,17,30,13,342
Galle,105,105,161,90,99,221,217,241,78,60,78,58,1513
Hambantota,58,66,45,37,31,59,51,78,33,53,60,33,604
Matara,186,147,155,94,84,147,186,241,141,196,158,100,1835
Jaffna,91,40,43,24,27,34,26,36,41,143,205,184,894
Kilinochchi,8,2,5,3,19,16,8,11,6,2,5,8,93
Mannar,38,16,10,9,6,15,19,11,2,6,21,33,186
Vavuniya,13,5,5,2,5,2,3,16,20,13,9,11,104
Mulativu,2,1,1,1,3,4,5,3,2,0,6,14,42
Batticaloa,263,116,91,32,35,32,11,21,7,26,36,47,717
Ampara,18,6,4,9,21,15,29,13,9,11,14,6,155
Trincomalee,23,23,26,6,8,16,8,13,7,5,15,18,168
Kurunegala,159,148,114,100,140,342,406,401,320,311,497,599,3537
Puttalam,131,101,69,55,98,178,98,142,253,159,251,265,1800
Apura,38,37,36,26,29,56,31,34,26,27,34,119,493
Polonnaruwa,25,27,21,11,17,37,22,38,12,21,15,43,289
Badulla,40,22,13,11,20,57,48,40,35,41,49,54,430
Moneragala,16,23,23,15,22,38,33,36,16,17,29,19,287
Ratnapura,126,153,160,183,257,874,621,648,310,194,262,150,3938
Kegalle,173,144,121,146,213,557,385,331,174,148,156,157,2705
Kalmunai,41,43,25,8,10,23,9,11,3,22,69,138,402
TOTAL,3986,3145,2628,2028,2550,5955,5193,5266,2857,3181,4034,3638,44461
Colombo,757,845,791,610,748,830,1168,1298,685,619,1173,1259,10783
Gampaha,463,321,289,212,319,273,385,394,245,237,383,308,3829
Kalutara,159,153,168,115,164,140,178,210,148,108,166,219,1928
Kandy,193,215,134,83,156,186,191,240,110,59,96,100,1763
Matale,48,47,49,32,30,37,52,66,32,24,39,39,495
N Eliya,17,32,30,15,16,21,27,40,13,16,18,27,272
Galle,57,60,92,57,108,100,84,93,79,34,68,108,940
Hambantota,32,35,40,30,22,21,28,43,23,24,22,25,345
Matara,48,75,65,28,36,31,54,34,27,19,32,37,486
Jaffna,100,77,84,115,70,30,23,43,35,48,52,125,802
Kilinochchi,7,4,7,5,4,7,0,16,7,3,3,6,69
Mannar,23,10,7,4,10,2,1,2,4,5,1,1,70
Vavuniya,11,8,12,3,8,6,7,4,4,5,10,15,93
Mulativu,12,7,17,18,20,12,6,8,9,6,10,2,127
Batticaloa,52,74,93,67,79,48,32,26,19,22,14,30,556
Ampara,14,17,20,7,11,15,26,26,25,18,28,35,242
Trincomalee,25,45,31,23,20,5,15,13,5,4,7,14,207
Kurunegala,720,485,303,134,194,195,154,163,105,104,98,117,2772
Puttalam,175,170,98,67,53,56,46,83,39,31,51,55,924
Apura,80,74,90,36,47,28,23,33,38,28,30,63,570
Polonnaruwa,34,40,47,41,28,19,43,76,47,41,45,46,507
Badulla,42,49,45,32,46,46,77,58,38,26,50,33,542
Moneragala,34,19,27,23,17,18,28,26,19,24,20,16,271
Ratnapura,131,148,220,217,253,185,169,146,90,44,70,56,1729
Kegalle,134,106,99,91,113,104,98,137,62,83,117,93,1237
Kalmunai,94,142,138,44,42,12,9,4,4,4,8,3,504
TOTAL,3462,3258,2996,2109,2614,2427,2924,3282,1912,1636,2611,2832,32063
Colombo,1346,684,488,539,1744,2289,1859,1104,706,1089,1448,1415,14711
Gampaha,632,279,191,280,921,1111,932,772,569,1015,1111,998,8811
Kalutara,267,175,111,117,241,429,389,239,138,158,182,185,2631
Kandy,93,49,36,47,116,270,223,247,176,289,413,377,2336
Matale,40,35,18,14,14,81,75,55,27,81,101,108,649
N Eliya,27,14,6,11,25,60,39,34,18,29,16,35,314
Galle,136,49,61,35,75,139,197,107,71,125,109,120,1224
Hambantota,48,34,17,26,42,121,169,36,29,51,39,53,665
Matara,50,31,11,13,22,63,112,82,93,130,71,70,748
Jaffna,148,92,58,59,73,89,148,123,95,212,318,424,1839
Kilinochchi,10,10,4,6,0,1,8,3,4,10,15,19,90
Mannar,2,1,0,1,2,20,13,10,40,68,119,83,359
Vavuniya,6,12,14,9,6,33,16,5,4,7,14,16,142
Mulativu,23,9,17,4,6,10,6,6,5,5,17,26,134
Batticaloa,43,66,147,92,117,97,60,22,15,40,95,176,970
Ampara,22,16,7,13,9,21,17,19,3,10,15,6,158
Trincomalee,52,38,77,115,100,55,34,18,16,22,55,79,661
Kurunegala,163,106,94,61,61,303,318,296,195,287,316,264,2464
Puttalam,93,42,42,27,34,83,101,65,39,84,147,159,916
Apura,68,44,27,39,27,61,89,39,25,51,54,108,632
Polonnaruwa,75,45,38,33,24,62,79,33,27,42,53,47,558
Badulla,56,43,36,12,56,90,79,84,76,129,221,231,1113
Moneragala,23,24,21,9,10,34,48,32,20,27,44,21,313
Ratnapura,91,43,58,52,370,866,457,343,148,171,124,100,2823
Kegalle,84,58,54,60,179,320,242,231,89,132,151,124,1724
Kalmunai,12,12,15,8,18,28,11,17,12,33,204,147,517
TOTAL,3610,2011,1648,1682,4292,6736,5721,4022,2640,4297,5452,5391,47502
Colombo,1802,1101,537,317,515,515,907,711,401,769,985,1321,9881
Gampaha,817,492,255,193,264,225,317,233,186,277,387,496,4142
Kalutara,276,180,106,72,86,78,125,92,57,118,167,202,1559
Kandy,253,156,95,63,71,70,64,47,62,154,120,170,1325
Matale,166,92,26,16,10,16,8,7,8,12,18,22,401
N Eliya,38,26,13,5,8,8,15,5,6,15,14,27,180
Galle,150,118,70,35,26,20,46,80,75,131,151,128,1030
Hambantota,46,51,28,18,12,11,26,27,17,61,56,45,398
